IP,City,Region,Country,Longitude,Latitude,PageViewTime
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:0:13
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:0:28
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:0:40
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:2:37
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:2:54
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:2:57
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:3:15
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:3:27
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:3:37
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:3:39
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:4:4
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:4:15
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:4:28
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:4:57
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:5:20
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:5:35
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:7:56
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:8:43
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:9:3
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:9:12
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:10:28
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:10:44
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:11:7
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:11:30
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:12:25
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:18:6
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:18:49
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:20:10
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:20:50
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:21:5
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:21:40
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:22:3
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:23:0
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:24:51
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:26:12
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:26:53
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:26:56
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:28:12
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:28:18
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:28:34
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:28:57
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:29:16
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:29:18
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:29:32
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:29:35
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:29:40
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:29:48
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:29:49
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:29:55
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:29:58
130.239.40.126,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,6/2/2014 at 12:30:3
192.168.0.100,,,,,6/2/2014 at 14:24:23
192.168.0.100,,,,,6/2/2014 at 14:25:24
192.168.0.100,,,,,6/2/2014 at 14:25:51
192.168.0.100,,,,,6/2/2014 at 14:26:25
192.168.0.100,,,,,6/2/2014 at 14:26:56
192.168.0.100,,,,,6/2/2014 at 14:28:9
192.168.0.100,,,,,6/2/2014 at 14:29:17
